tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,per_core_GBs,aggregate_GBs,prefetch_GBs,data_volume_GB,prefetch_volume_GB,pf_to_demand,bench_GBs
l2,192,1,8,24,1.8966376,1.1954,2.396072534,0,0,28.8086038,5531.252,8442.834,6599.5452,10073.494,1.5263921519925345,5518.76289
l2,192,2,8,24,1.8971369,1.1932,2.396377736,0,0,28.849848,5539.171,8464.782,6599.4909,10085.1252,1.528167149984251,5528.776349999999
l2,1,1,1,1,1.897124,1.1731,2.396221898,0,0,29.3050995,29.3050995,48.5775013,34.3778,56.9862,1.6576453408885965,29.289849999999998
l2,1,2,1,1,1.8971225,1.1702,2.395598604,0,0,29.3763064,29.3763064,48.2474525,34.3768,56.4602,1.6423925438086149,29.36183
l2,24,1,1,3,1.8971313,1.172,2.396373096,0,0,29.327372,703.856929,1066.067,824.9015,1249.4019,1.514607380396326,703.59601
l2,24,2,1,3,1.8971409000000001,1.1744,2.396377208,0,0,29.2684368,702.4424836000001,1060.911,824.9043,1245.8674,1.5103174998602868,702.18728
l2,8,1,1,1,1.896538,1.1609,2.396376243,0,0,29.6071845,236.857476,356.9863038,274.9649,414.4209,1.5071774615596392,236.78295
l2,8,2,1,1,1.8971190999999998,1.1789,2.396375748,0,0,29.1565432,233.2523454,354.71335580000004,274.9731,418.1592,1.520727663906033,233.17017
l2,96,1,4,12,1.897125,1.1948,2.396372677,0,0,28.775823199999998,2762.479,4215.634,3299.8266,5035.6445,1.5260330648889249,2760.85431
l2,96,2,4,12,1.8971377999999999,1.1823,2.39637938,0,0,29.0835872,2792.024,4345.873,3300.0367,5136.6073,1.5565303561624024,2789.98179
