tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,prec,theoretical_GFLOPs,measured_GFLOPs,pct_peak,flops_per_cyc_per_core,bench_GFLOPs
dp_fma,192,1,8,24,3.0636715,1.3345,2.396373443,0,0,DP,9411.598848,9280.621,98.6083358405375,15.777333734486001,9269.266220000001
dp_fma,192,2,8,24,3.0652881,1.3361,2.396004206,0,0,DP,9416.5650432,9266.357,98.40485312307729,15.744776499692367,9258.05777
dp_fma,1,1,1,1,3.6944004,1.0942,2.396378016,0,0,DP,59.1104064,58.879368799999995,99.60914225756362,15.93746276121018,58.87955
dp_fma,1,2,1,1,3.6944106000000003,1.096,2.396376898,0,0,DP,59.110569600000005,58.7790739,99.43919386626922,15.910271018603074,58.77921
dp_fma,24,1,1,3,3.6930141,1.0948,2.396373179,0,0,DP,1418.1174144000001,1412.32,99.59118939368973,15.934590302990356,1412.27197
dp_fma,24,2,1,3,3.694398,1.0948,2.396373778,0,0,DP,1418.648832,1412.449,99.56297627290472,15.930076203664756,1412.3703899999998
dp_fma,8,1,1,1,3.6938701999999997,1.0945,2.396037298,0,0,DP,472.81538559999996,470.88018569999997,99.59070707956252,15.934513132730002,470.88144
dp_fma,8,2,1,1,3.6944087,1.0938,2.396376073,0,0,DP,472.8843136,471.2135647,99.64668971840473,15.943470354944758,471.21368
dp_fma,96,1,4,12,2.9393791,1.385,2.396374455,0,0,DP,4514.8862976,4466.645,98.93150581387523,15.829040930220037,4465.62947
dp_fma,96,2,4,12,2.9386287,1.3824,2.396377479,0,0,DP,4513.7336832,4474.457,99.12984048336332,15.860774477338133,4473.86047
dp_fma_add,192,1,8,24,2.7746976,1.4737,2.396022319,0,0,DP,12785.8065408,12606.43,98.59706511100725,23.663295626641737,12590.63413
dp_fma_add,192,2,8,24,2.7739776000000003,1.4733,2.396375101,0,0,DP,12782.488780800002,12609.09,98.64346619994335,23.674431887986405,12593.38355
dp_fma_add,1,1,1,1,3.6936853999999997,1.0957,2.396380203,0,0,DP,88.64844959999999,88.1963676,99.49002830614648,23.87760679347516,88.19662
dp_fma_add,1,2,1,1,3.6943965,1.0947,2.396300566,0,0,DP,88.665516,88.279273,99.56438194077619,23.895451665786283,88.27954
dp_fma_add,24,1,1,3,3.5600061,1.1405,2.396378817,0,0,DP,2050.5635136,2033.614,99.17342167225812,23.80162120134195,2033.5856999999999
dp_fma_add,24,2,1,3,3.5606970000000002,1.1386,2.396372877,0,0,DP,2050.961472,2037.026,99.32053955229053,23.83692949254973,2036.9605900000001
dp_fma_add,8,1,1,1,3.6941497,1.0944,2.395857853,0,0,DP,709.2767424,706.3843758,99.59220901700328,23.90213016408079,706.38634
dp_fma_add,8,2,1,1,3.6944117999999997,1.0941,2.396378122,0,0,DP,709.3270656,706.5880679,99.61385969423243,23.907326326615784,706.58825
dp_fma_add,96,1,4,12,2.77689,1.4715,2.395758234,0,0,DP,6397.95456,6305.473,98.55451364756176,23.653083275414822,6304.6930999999995
dp_fma_add,96,2,4,12,2.7759593,1.4702,2.396373508,0,0,DP,6395.8102272,6311.527,98.68221188237322,23.683730851769575,6310.3565
sp_avx512,192,1,8,24,2.6595937,1.7422,2.396376946,0,0,SP,16340.543692799998,14214.26,86.98768087051543,27.83605787856494,14200.05662
sp_avx512,192,2,8,24,2.6611719,1.7414,2.396380127,0,0,SP,16350.2401536,14219.94,86.9708326386206,27.830666444358595,14206.53884
sp_avx512,1,1,1,1,3.6942224,1.2467,2.3963762,0,0,SP,118.2151168,103.3520494,87.42710086295833,27.976672276146665,103.35238000000001
sp_avx512,1,2,1,1,3.6943916,1.2498,2.396301286,0,0,SP,118.2205312,103.0942105,87.20499684237589,27.905598989560286,103.0945
sp_avx512,24,1,1,3,3.6943102,1.2424,2.396373572,0,0,SP,2837.2302336,2489.159,87.73200604314893,28.074241933807656,2489.11026
