tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,per_core_GBs,aggregate_GBs,prefetch_GBs,data_volume_GB,prefetch_volume_GB,pf_to_demand,bench_GBs
l2,128,1,4,16,2.9659535999999997,1.5372,2.695206822,0,0,44.749073100000004,5727.881,12057.75,8801.1462,18527.2699,2.105097390610328,5722.026309999999
l2,128,2,4,16,2.9545665,1.5248,2.695242831,0,0,45.1247469,5775.968,12217.09,8801.1659,18615.8501,2.115157277060304,5768.8719
l2,1,1,1,1,4.1415831,1.0561,2.696314394,0,0,65.2193668,65.2193668,136.46502710000001,68.8766,144.1174,2.092400031360433,65.07065
l2,1,2,1,1,4.1393489,1.0406,2.695179714,0,0,66.0581398,66.0581398,139.4305636,68.742,145.0955,2.1107256117075437,66.03653
l2,256,1,8,32,2.9870010000000002,1.5623,2.696287192,0,0,44.0937975,11288.01,23563.01,17604.4515,36748.1917,2.087437470005811,11260.65152
l2,256,2,8,32,2.9845014,1.554,2.696285607,0,0,44.327382,11347.81,23780.82,17603.1566,36889.7467,2.095632478779403,11320.940789999999
l2,32,1,1,4,3.6665504,1.1865,2.696300765,0,0,57.949059500000004,1854.37,3968.493,2200.0356,4708.2433,2.140075960589001,1853.43297
l2,32,2,1,4,3.6658148,1.1882,2.696269984,0,0,57.8634554,1851.631,3973.553,2200.0276,4721.2041,2.1459749414052807,1850.72422
l2,8,1,1,1,4.136313299999999,1.0448,2.696289256,0,0,65.7999481,526.3995851000001,1112.648,550.0075,1162.5479,2.113694631436844,526.16034
l2,8,2,1,1,4.1357858,1.0447,2.696293422,0,0,65.8084686,526.4677487,1117.327,550.0045,1167.2799,2.1223097265567827,526.22987
l2avx512,128,1,4,16,2.8556964,2.147,2.696290969,0,0,64.0906402,8203.602,3720.878,17607.1641,7986.0103,0.45356596068755894,8193.76862
l2avx512,128,2,4,16,2.8699702,2.1744,2.696295816,0,0,63.2854662,8100.54,3686.254,17606.835,8012.2206,0.45506308203603885,8090.56198
l2avx512,1,1,1,1,4.1410858,1.1385,2.696287126,0,0,120.7492672,120.7492672,40.1780092,137.4691,45.7413,0.3327387754775437,120.72303
l2avx512,1,2,1,1,4.1409668,1.1406,2.696288137,0,0,120.5332333,120.5332333,40.709454799999996,137.4825,46.434,0.3377448038841307,120.49517
l2avx512,256,1,8,32,2.8549333999999997,2.1424,2.696283501,0,0,64.2883386,16457.81,7470.763,35215.9197,15985.739,0.4539350139420042,16423.07391
l2avx512,256,2,8,32,2.8802936,2.2072,2.696282181,0,0,62.39889590000001,15974.12,7211.646,35215.9834,15898.5595,0.4514586265962404,15940.484349999999
l2avx512,32,1,1,4,3.6494458,1.6808,2.696290257,0,0,81.83583130000001,2618.747,1387.659,4401.3807,2332.2673,0.5298944715234472,2616.6748
l2avx512,32,2,1,4,3.6502707,1.6746,2.696296647,0,0,82.13444960000001,2628.302,1336.018,4401.233,2237.2338,0.5083197822064862,2626.33691
l2avx512,8,1,1,1,4.1371689,1.4143,2.695671116,0,0,97.2437075,777.94966,394.97361290000003,1100.272,558.6201,0.5077109114837058,777.4116700000001
l2avx512,8,2,1,1,4.1371137,1.4092,2.696301749,0,0,97.5978516,780.7828131,389.00970870000003,1100.2594,548.1825,0.4982302355244591,780.25387
l2avx,128,1,4,16,2.6258472,2.1347,2.696297248,0,0,64.4343527,8247.597,4673.08,17598.2883,9971.1756,0.5665991731707225,8241.04048
l2avx,128,2,4,16,2.6221408,2.1239,2.696289873,0,0,64.7434286,8287.159,4697.564,17598.5918,9975.7364,0.5668485588716252,8282.82212
l2avx,1,1,1,1,4.1410342,1.0535,2.696285338,0,0,130.48359910000002,130.48359910000002,91.2604225,137.47,96.1467,0.69940132392522,130.45431
l2avx,1,2,1,1,4.1412297,1.0579,2.696285694,0,0,129.9584385,129.9584385,91.88332240000001,137.4772,97.1992,0.7070205095826799,129.92255
l2avx,256,1,8,32,2.6444794000000003,2.1625,2.696272182,0,0,63.6603738,16297.06,9206.846,35197.4157,19884.4097,0.564939479349332,16270.60059
l2avx,256,2,8,32,2.6300016999999998,2.1321,2.696286661,0,0,64.5700583,16529.93,9346.883,35197.4548,19902.4656,0.5654518405688811,16502.40333
l2avx,32,1,1,4,3.498564,1.5511,2.696301892,0,0,88.6354508,2836.334,1606.223,4399.2246,2491.2919,0.5663025024910072,2835.4820299999997
l2avx,32,2,1,4,3.4933213,1.548,2.696295682,0,0,88.8104462,2841.934,1606.804,4399.2867,2487.3161,0.5653907711902477,2841.09591
l2avx,8,1,1,1,4.1356512,1.2684,2.696299299,0,0,108.38387,867.0709602,496.4640222,1099.8227,629.7321,0.5725760161160521,866.8284699999999
l2avx,8,2,1,1,4.1354596,1.2692,2.695203731,0,0,108.3138057,866.5104457,496.4710887,1099.8118,630.142,0.5729543909239745,866.27621
