tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,theoretical_GBs,measured_GBs,pct_peak,read_GBs,write_GBs,data_volume_GB,bench_GBs
mem,128,1,,,4.1238543,19.6495,2.696292111,4,0,,447.8339527,,298.5739408,149.26001190000002,8799.2968,447.65028
mem,128,2,,,4.123688100000001,19.6593,2.696286288,4,0,,447.6251201,,298.43637689999997,149.18874309999998,8799.5892,447.42581
mem,1,1,1,1,4.1374559,1.2341,2.696284944,1,0,115.19999999999999,54.4111068,47.23186354166667,35.8366207,18.574486099999998,67.1502,55.68284
mem,1,2,1,1,4.1382755,1.2254,2.696285201,1,0,115.19999999999999,54.7553188,47.530658680555554,36.0491632,18.7061557,67.0966,56.07985
mem,256,1,,,4.1274772,19.7203,2.695251305,8,0,,892.4456117999999,,594.9961311,297.4494808,17597.0373,892.08544
mem,256,2,,,4.127386400000001,19.6862,2.696285558,8,0,,893.9913603,,596.0272043,297.964156,17596.9773,893.63135
mem,32,1,,,4.1257192,19.6159,2.69629156,1,0,,112.17631479999999,,74.7890402,37.3872745,2200.4057,112.10416000000001
mem,32,2,,,4.1254489,19.627,2.69628307,1,0,,112.1265916,,74.7598677,37.3667239,2200.6806,112.04083
mem,8,1,1,1,4.1370145,8.3661,2.695252222,1,0,115.19999999999999,65.7808392,57.10142291666667,43.861169800000006,21.9196694,550.3191,65.71234
mem,8,2,1,1,4.136284399999999,8.3709,2.69628512,1,0,115.19999999999999,65.737429,57.063740451388895,43.830663200000004,21.9067657,550.2744,65.67430999999999
