tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,per_core_GBs,aggregate_GBs,prefetch_GBs,data_volume_GB,prefetch_volume_GB,pf_to_demand,bench_GBs
l2,128,1,4,16,2.4096417999999997,2.1874,2.69627636,0,0,31.4541152,4026.127,8282.482,8802.5705,18108.4871,2.057181717544892,4021.29804
l2,128,2,4,16,2.4111816,1.8907,2.696291496,0,0,36.380236700000005,4656.67,9635.088,8802.563,18213.3263,2.0690935469589937,4652.35624
l2,1,1,1,1,2.4120173,1.7886,2.696289009,0,0,38.4391233,38.4391233,82.11606470000001,68.7538,146.8762,2.136263013826145,38.41998
l2,1,2,1,1,2.4112725999999998,1.7871,2.696291685,0,0,38.4682952,38.4682952,81.8667032,68.7453,146.3011,2.1281614888581473,38.453849999999996
l2,256,1,8,32,2.412974,1.8942,2.696286856,0,0,36.3538054,9306.574,19312.24,17603.222,36528.8989,2.0751257298237786,9287.3528
l2,256,2,8,32,2.4136032,1.8841,2.696288469,0,0,36.559916199999996,9359.339,19411.37,17603.2703,36509.37,2.074010645624183,9337.162960000001
l2,32,1,1,4,2.4135250999999998,1.8231,2.696288955,0,0,37.7284227,1207.31,2553.33,2200.8963,4654.6589,2.1148924190567273,1206.23028
l2,32,2,1,4,2.4137456999999998,1.8185,2.696287705,0,0,37.8214351,1210.286,2533.385,2200.832,4606.8077,2.093211885323369,1209.25603
l2,8,1,1,1,2.4130599999999998,1.7906,2.696287051,0,0,38.3959986,307.16798869999997,629.8622333,550.006,1127.8129,2.0505465394922964,307.02714000000003
l2,8,2,1,1,2.4127125,1.8149,2.696287489,0,0,37.89679,303.1743202,629.3166846,550.2172,1142.118,2.0757584459373497,302.91569
l2avx512,128,1,4,16,2.4113209,3.5705,2.696288151,0,0,38.539115599999995,4933.007,2204.773,17607.6394,7869.6175,0.4469433591421687,4927.07501
l2avx512,128,2,4,16,2.4113883,3.6229,2.696287163,0,0,37.9794583,4861.371,2212.255,17606.8935,8012.3511,0.4550689819302877,4855.90203
l2avx512,1,1,1,1,2.4130069,1.9523,2.696286804,0,0,70.4150472,70.4150472,20.1633766,137.4685,39.3642,0.286350691249268,70.39999
l2avx512,1,2,1,1,2.4133202999999996,1.9504,2.69628691,0,0,70.4812424,70.4812424,20.1907701,137.4688,39.3807,0.28647009357759723,70.46598
l2avx512,256,1,8,32,2.4135571,3.6212,2.696290651,0,0,38.0175428,9732.491,4464.731,35215.7837,16155.1247,0.45874670396728956,9716.321960000001
l2avx512,256,2,8,32,2.4133553,2.7895,2.696288083,0,0,49.3668589,12637.92,5838.339,35213.3555,16267.5475,0.4619709558778061,12613.29979
l2avx512,32,1,1,4,2.4133159,2.4236,2.696287886,0,0,56.7402097,1815.687,878.8917931,4400.4367,2130.0527,0.4840548439203773,1814.6586100000002
l2avx512,32,2,1,4,2.4133458,2.4116,2.695321224,0,0,57.024860200000006,1824.796,855.1293598,4400.5154,2062.1545,0.4686165852299937,1823.72651
l2avx512,8,1,1,1,2.4148582999999997,2.3986,2.696286725,0,0,57.3287529,458.6300232,210.5918797,1100.0866,505.1332,0.45917585033760067,458.38978000000003
l2avx512,8,2,1,1,2.4133609000000003,2.4124,2.69577622,0,0,57.0033916,456.0271326,214.0438152,1100.1109,516.3548,0.4693661339052272,455.77826
l2avx,128,1,4,16,2.4097112000000003,3.646,2.696290418,0,0,37.718956899999995,4828.026,2744.735,17598.6398,10004.8346,0.5685004474038954,4825.07041
l2avx,128,2,4,16,2.4093299999999997,3.556,2.696291169,0,0,38.677909299999996,4950.772,2816.338,17598.8789,10011.4437,0.5688682646711093,4947.14675
l2avx,1,1,1,1,2.4135486999999998,1.8081,2.696290907,0,0,76.029759,76.029759,53.8079556,137.4712,97.2915,0.7077227812079911,76.012
l2avx,1,2,1,1,2.4126174000000002,1.8096,2.69628593,0,0,75.9686689,75.9686689,52.9194763,137.4712,95.7619,0.696596087034957,75.95089999999999
l2avx,256,1,8,32,2.4107708,2.7102,2.695267751,0,0,50.7920445,13002.76,7397.049,35197.2279,20023.0965,0.5688827698842727,12982.47263
l2avx,256,2,8,32,2.4106331,2.5175,2.695294989,0,0,54.685286,13999.43,7948.635,35198.0061,19984.8002,0.5677821676381835,13975.74776
l2avx,32,1,1,4,2.4129645999999996,2.1814,2.696289042,0,0,63.022991000000005,2016.736,1154.548,4399.2834,2518.5164,0.5724833276255855,2016.13315
l2avx,32,2,1,4,2.4130218,2.1841,2.696288739,0,0,62.946706400000004,2014.295,1151.847,4399.2822,2515.6704,0.571836560064276,2013.68222
l2avx,8,1,1,1,2.4125922999999996,2.1705,2.696290576,0,0,63.338221100000005,506.70576880000004,290.2082965,1099.8239,629.9082,0.5727355079299512,506.56026
l2avx,8,2,1,1,2.4138757,2.1684,2.696286253,0,0,63.4012187,507.2097496,290.4256029,1099.8223,629.7523,0.5725945909625582,507.06581
